state_two_letter_code,jurisdiction_name,jurisdiction_type,string_date_MDY,year_of_vote,month_of_vote,did_vote_pass,share_votes_yes,share_votes_no,vote_share_needed_to_pass,vote_margin,total_funds_at_stake,total_funds_approved,total_funds_appr_r2020,conservation_funds_at_stake,conservation_funds_approved,conservation_funds_appr_r2020,finance_mechanism,purpose,description,other_comment,vote_funding_notes,needed_sixty_percent_to_pass,needed_two_thirds_to_pass,gdp_price_deflator,GeoFIPS,region_number,income,Pop,GeoFIPS_0,precipitation_avg,office,candidate,party,candidatevotes,totalvotes,version,fair_market_r_0rooms,fair_market_r_1rooms,fair_market_r_3rooms,fair_market_r_4rooms
FL,Leon,County,11/07/00,2000,11,1,59.89495819,40.10504181,50,9.8949585,728000000,728000000,1058358144,400000000,400000000,581515456,Sales tax,"Open space, watershed protection, recreation","20-year, 1-cent, sales tax renewal for traffic relief, clean lakes, and to protect and expand parks",,,0,0,68.785789,12073,5,6645377,240571,12073,3.6991666666666667,US PRESIDENT,OTHER,OTHER,703,103124,20220315,415,460,792,954
FL,Manatee,County,03/09/04,2004,3,0,48.37492315,51.62507685,50,-1.6250769,140000000,0,0,70000000,0,0,Sales tax,"Recreation, wildlife habitat","Sales Tax Referendum, 10-year, 1 cent sales tax increase for environmentally signficant lands, recreational facilities, city projects",,,0,0,74.688545,12081,5,10143555,296183,12081,4.944166666666667,US PRESIDENT,JOHN KERRY,DEMOCRAT,61262,143621,20220315,438,557,910,991
FL,Manatee,County,03/09/04,2004,3,0,48.37492315,51.62507685,50,-1.6250769,140000000,0,0,70000000,0,0,Sales tax,"Recreation, wildlife habitat","Sales Tax Referendum, 10-year, 1 cent sales tax increase for environmentally signficant lands, recreational facilities, city projects",,,0,0,74.688545,12081,5,10143555,296183,12081,4.944166666666667,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,81318,143621,20220315,438,557,910,991
FL,Manatee,County,03/09/04,2004,3,0,48.37492315,51.62507685,50,-1.6250769,140000000,0,0,70000000,0,0,Sales tax,"Recreation, wildlife habitat","Sales Tax Referendum, 10-year, 1 cent sales tax increase for environmentally signficant lands, recreational facilities, city projects",,,0,0,74.688545,12081,5,10143555,296183,12081,4.944166666666667,US PRESIDENT,OTHER,OTHER,1041,143621,20220315,438,557,910,991
FL,Manatee,County,11/03/20,2020,11,1,71.33921355,28.66078645,50,21.339214,108000000,108000000,108000000,108000000,108000000,108000000,Property tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation",".15 mill property tax increase for the acquisition, improvement, and management of natural lands",with bond,,0,0,100,12081,5,21622623,401593,12081,4.5424999999999995,US PRESIDENT,JOSEPH R BIDEN JR,DEMOCRAT,90166,216958,20220315,807,951,1629,1983
FL,Manatee,County,11/03/20,2020,11,1,71.33921355,28.66078645,50,21.339214,108000000,108000000,108000000,108000000,108000000,108000000,Property tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation",".15 mill property tax increase for the acquisition, improvement, and management of natural lands",with bond,,0,0,100,12081,5,21622623,401593,12081,4.5424999999999995,US PRESIDENT,OTHER,GREEN,258,216958,20220315,807,951,1629,1983
FL,Manatee,County,11/03/20,2020,11,1,71.33921355,28.66078645,50,21.339214,108000000,108000000,108000000,108000000,108000000,108000000,Property tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation",".15 mill property tax increase for the acquisition, improvement, and management of natural lands",with bond,,0,0,100,12081,5,21622623,401593,12081,4.5424999999999995,US PRESIDENT,JO JORGENSEN,LIBERTARIAN,1287,216958,20220315,807,951,1629,1983
FL,Manatee,County,11/03/20,2020,11,1,71.33921355,28.66078645,50,21.339214,108000000,108000000,108000000,108000000,108000000,108000000,Property tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation",".15 mill property tax increase for the acquisition, improvement, and management of natural lands",with bond,,0,0,100,12081,5,21622623,401593,12081,4.5424999999999995,US PRESIDENT,OTHER,OTHER,260,216958,20220315,807,951,1629,1983
FL,Manatee,County,11/03/20,2020,11,1,71.33921355,28.66078645,50,21.339214,108000000,108000000,108000000,108000000,108000000,108000000,Property tax,"Open space, parks, wildlife habitat, watershed protection, trails, recreation",".15 mill property tax increase for the acquisition, improvement, and management of natural lands",with bond,,0,0,100,12081,5,21622623,401593,12081,4.5424999999999995,US PRESIDENT,DONALD J TRUMP,REPUBLICAN,124987,216958,20220315,807,951,1629,1983
FL,Martin,County,05-16-1989,1989,5,1,53.26373128,46.73626872,50,3.2637312,20000000,20000000,36989408,20000000,20000000,36989408,Bond,"Open space, recreation",Bond for the acquisition of recreational and environmentally sensitive lands,,,0,0,54.069534,12085,5,2634540,97382,12085,3.56,NA,NA,NA,NA,NA,NA,352,427,629,705
FL,Martin,County,03/12/96,1996,3,1,56.59815902,43.40184098,50,6.5981588,7700000,7700000,11942803,7700000,7700000,11942803,Bond,"Open space, parks",Bond to purchase 59 acres of land on the campus of the Florida Institute of Technology for an environmental park,,,0,0,64.473976,12085,5,4192282,117450,12085,3.9175,NA,NA,NA,NA,NA,NA,428,470,792,854
FL,Martin,County,03/12/96,1996,3,1,52.20947982,47.79052018,50,2.2094798,12100000,12100000,18767262,3630000,3630000,5630178.5,Sales tax,parks,"Infastructure Sales Surtax, 1 Percent Sales Tax Increase for Libraries, Parks, Public Safety",,,0,0,64.473976,12085,5,4192282,117450,12085,3.9175,NA,NA,NA,NA,NA,NA,428,470,792,854
FL,Martin,County,11/03/98,1998,11,1,51.24723175,48.75276825,50,1.2472317,27189522,27189522,40994896,19056954,19056954,28733048,Sales tax,"Open space, wildlife habitat, watershed protection","Lands for Healthy Rivers and Natural Resources Protection,  3-year, 1 percent sales tax increase for open space, purchase of sensitive lands",,,0,0,66.324165,12085,5,4927828,123693,12085,5.076666666666667,NA,NA,NA,NA,NA,NA,453,497,838,903
FL,Martin,County,11/02/04,2004,11,0,48.46605557,51.53394443,50,-1.5339445,55800000,0,0,55800000,0,0,Sales tax,Open space,"""Lands For You II"", 3-year, 1 cent sales tax for land conservation and open space",,,0,0,74.688545,12085,5,7115845,139729,12085,5.005833333333333,US PRESIDENT,JOHN KERRY,DEMOCRAT,30208,72453,20220315,501,549,925,997
FL,Martin,County,11/02/04,2004,11,0,48.46605557,51.53394443,50,-1.5339445,55800000,0,0,55800000,0,0,Sales tax,Open space,"""Lands For You II"", 3-year, 1 cent sales tax for land conservation and open space",,,0,0,74.688545,12085,5,7115845,139729,12085,5.005833333333333,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,41362,72453,20220315,501,549,925,997
FL,Martin,County,11/02/04,2004,11,0,48.46605557,51.53394443,50,-1.5339445,55800000,0,0,55800000,0,0,Sales tax,Open space,"""Lands For You II"", 3-year, 1 cent sales tax for land conservation and open space",,,0,0,74.688545,12085,5,7115845,139729,12085,5.005833333333333,US PRESIDENT,OTHER,OTHER,883,72453,20220315,501,549,925,997
FL,Martin,County,11/07/06,2006,11,1,55.11843022,44.88156978,50,5.1184301,60000000,60000000,75614440,30000000,30000000,37807220,Sales tax,"Open space, parks, wildife, watershed protection, trails","5-year, .5 cent sales tax increase for clean water, wildlife habitat, and park improvements",,,0,0,79.349922,12085,5,8661194,141802,12085,3.0408333333333335,NA,NA,NA,NA,NA,NA,556,557,933,962
FL,Miami-Dade,County,05/08/90,1990,5,1,53.55672313,46.44327687,50,3.5567231,90000000,90000000,160433792,80000000,80000000,142607808,Property tax,Open space,2-year Property tax for environmental lands,,,0,0,56.097908,12086,5,35645163,1943717,12086,3.7625,NA,NA,NA,NA,NA,NA,396,482,709,794
FL,Miami-Dade,County,11/05/96,1996,11,1,66.9920403,33.0079597,50,16.992041,200000000,200000000,310202688,25000000,25000000,38775336,Bond,"parks, watershed protection, recreation, open space","Safe Neighborhood Parks Act, Bond to improve neighborhood and regional parks and acquire recreational areas, beaches and natural lands",,,0,0,64.473976,12086,5,47181493,2130937,12086,4.6691666666666665,NA,NA,NA,NA,NA,NA,459,575,986,1143
FL,Miami-Dade,County,11/02/04,2004,11,1,58.25684587,41.74315413,50,8.2568455,255070000,255070000,341511552,30000000,30000000,40166800,Bond,"Open space, recreation","Question #6, Bond for capital projects such as playgrounds and land acquisition",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,JOHN KERRY,DEMOCRAT,409732,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,58.25684587,41.74315413,50,8.2568455,255070000,255070000,341511552,30000000,30000000,40166800,Bond,"Open space, recreation","Question #6, Bond for capital projects such as playgrounds and land acquisition",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,361095,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,58.25684587,41.74315413,50,8.2568455,255070000,255070000,341511552,30000000,30000000,40166800,Bond,"Open space, recreation","Question #6, Bond for capital projects such as playgrounds and land acquisition",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,OTHER,OTHER,3899,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,66.1008845,33.8991155,50,16.100885,680258000,680258000,910792960,90000000,90000000,120500408,Bond,"Parks, recreation, open space","Question #2, Bond for improvements to parks and recreational facilities and the preservation of endangered lands",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,JOHN KERRY,DEMOCRAT,409732,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,66.1008845,33.8991155,50,16.100885,680258000,680258000,910792960,90000000,90000000,120500408,Bond,"Parks, recreation, open space","Question #2, Bond for improvements to parks and recreational facilities and the preservation of endangered lands",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,361095,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,66.1008845,33.8991155,50,16.100885,680258000,680258000,910792960,90000000,90000000,120500408,Bond,"Parks, recreation, open space","Question #2, Bond for improvements to parks and recreational facilities and the preservation of endangered lands",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,OTHER,OTHER,3899,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,65.41791315,34.58208685,50,15.417913,552692000,552692000,739995648,10000000,10000000,13388934,Bond,"Open space, recreation","Question #8, Bond for historic site preservation",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,JOHN KERRY,DEMOCRAT,409732,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,65.41791315,34.58208685,50,15.417913,552692000,552692000,739995648,10000000,10000000,13388934,Bond,"Open space, recreation","Question #8, Bond for historic site preservation",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,361095,774726,20220315,577,726,1241,1439
FL,Miami-Dade,County,11/02/04,2004,11,1,65.41791315,34.58208685,50,15.417913,552692000,552692000,739995648,10000000,10000000,13388934,Bond,"Open space, recreation","Question #8, Bond for historic site preservation",,,0,0,74.688545,12086,5,74537315,2358684,12086,3.8133333333333335,US PRESIDENT,OTHER,OTHER,3899,774726,20220315,577,726,1241,1439
FL,Orange,County,11/04/97,1997,11,0,43.95132344,56.04867656,50,-6.0486765,2200000000,0,0,135000000,0,0,Sales tax,Parks,$0.01 sales tax increase,,,0,0,65.586288,12095,5,19643411,829072,12095,5.0008333333333335,NA,NA,NA,NA,NA,NA,478,544,851,1038
FL,Osceola,County,11/02/04,2004,11,1,67.16782353,32.83217647,50,17.167824,60000000,60000000,80333600,60000000,60000000,80333600,Bond,"Open space, watershed protection, wildlife habitat, recreation","Bond for open space, wildlife, watershed protection, and recreation, and accompanying 20-year, 1/4 mill increase",,,0,0,74.688545,12097,5,5064014,216541,12097,4.645,US PRESIDENT,JOHN KERRY,DEMOCRAT,38633,82204,20220315,606,687,1076,1312
FL,Osceola,County,11/02/04,2004,11,1,67.16782353,32.83217647,50,17.167824,60000000,60000000,80333600,60000000,60000000,80333600,Bond,"Open space, watershed protection, wildlife habitat, recreation","Bond for open space, wildlife, watershed protection, and recreation, and accompanying 20-year, 1/4 mill increase",,,0,0,74.688545,12097,5,5064014,216541,12097,4.645,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,43117,82204,20220315,606,687,1076,1312
FL,Osceola,County,11/02/04,2004,11,1,67.16782353,32.83217647,50,17.167824,60000000,60000000,80333600,60000000,60000000,80333600,Bond,"Open space, watershed protection, wildlife habitat, recreation","Bond for open space, wildlife, watershed protection, and recreation, and accompanying 20-year, 1/4 mill increase",,,0,0,74.688545,12097,5,5064014,216541,12097,4.645,US PRESIDENT,OTHER,OTHER,454,82204,20220315,606,687,1076,1312
FL,Palm Beach,County,03/12/91,1991,3,1,66.51353382,33.48646618,50,16.513535,100000000,100000000,172438448,100000000,100000000,172438448,Bond,"Open space, wildlife habitat","Bond to acquire, preserve and maintain environmentally sensitive lands, including the protection of wildlife. ",,,0,0,57.991707,12099,5,27630204,898852,12099,5.4775,NA,NA,NA,NA,NA,NA,376,449,640,705
FL,Palm Beach,County,03/09/99,1999,3,1,66.14133299,33.85866701,50,16.141333,150000000,150000000,222944912,150000000,150000000,222944912,Bond,"Farmland, greenways, open space",Bond issue for agriculture and environmentally sensitive lands,,,0,0,67.281197,12099,5,46590991,1116913,12099,5.259166666666666,NA,NA,NA,NA,NA,NA,495,578,950,1175
FL,Palm Beach,County,11/05/02,2002,11,1,62.40510615,37.59489385,50,12.405107,50000000,50000000,70019312,6000000,6000000,8402317,Bond,"Parks, recreation, open space","Bond for parks, recreation, cultural facilities, including acquisition of coastal properties and parks",,,0,0,71.408875,12099,5,53873809,1191340,12099,4.845833333333333,NA,NA,NA,NA,NA,NA,554,646,1062,1315
FL,Palm Beach,County,11/02/04,2004,11,1,67.64233499,32.35766501,50,17.642336,50000000,50000000,66944668,50000000,50000000,66944668,Bond,"Open space, recreation, watershed protection","Bond to acquire property to protect, preserve and expand public access to bodies of water and working waterfronts",,,0,0,74.688545,12099,5,61490843,1252223,12099,4.7925,US PRESIDENT,JOHN KERRY,DEMOCRAT,328687,544622,20220315,570,665,1092,1352
FL,Palm Beach,County,11/02/04,2004,11,1,67.64233499,32.35766501,50,17.642336,50000000,50000000,66944668,50000000,50000000,66944668,Bond,"Open space, recreation, watershed protection","Bond to acquire property to protect, preserve and expand public access to bodies of water and working waterfronts",,,0,0,74.688545,12099,5,61490843,1252223,12099,4.7925,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,212688,544622,20220315,570,665,1092,1352
FL,Palm Beach,County,11/02/04,2004,11,1,67.64233499,32.35766501,50,17.642336,50000000,50000000,66944668,50000000,50000000,66944668,Bond,"Open space, recreation, watershed protection","Bond to acquire property to protect, preserve and expand public access to bodies of water and working waterfronts",,,0,0,74.688545,12099,5,61490843,1252223,12099,4.7925,US PRESIDENT,OTHER,OTHER,3247,544622,20220315,570,665,1092,1352
FL,Pasco,County,03/09/04,2004,3,1,51.96651646,48.03348354,50,1.9665165,145500000,145500000,194808992,36375000,36375000,48702248,Sales tax,"Recreation, wildlife habitat","Penny Sales Tax, 10-year, 1 cent sales tax increase for environmentally significant lands, recreation, public safety, schools, city projects",,Vote on 10 year renewal planned for Nov 2012 ballot,NA,NA,NA,12101,5,10971911,401648,12101,5.176666666666667,US PRESIDENT,JOHN KERRY,DEMOCRAT,84749,190916,20220315,530,630,1037,1257
FL,Pasco,County,03/09/04,2004,3,1,51.96651646,48.03348354,50,1.9665165,145500000,145500000,194808992,36375000,36375000,48702248,Sales tax,"Recreation, wildlife habitat","Penny Sales Tax, 10-year, 1 cent sales tax increase for environmentally significant lands, recreation, public safety, schools, city projects",,Vote on 10 year renewal planned for Nov 2012 ballot,NA,NA,NA,12101,5,10971911,401648,12101,5.176666666666667,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,103230,190916,20220315,530,630,1037,1257
FL,Pasco,County,03/09/04,2004,3,1,51.96651646,48.03348354,50,1.9665165,145500000,145500000,194808992,36375000,36375000,48702248,Sales tax,"Recreation, wildlife habitat","Penny Sales Tax, 10-year, 1 cent sales tax increase for environmentally significant lands, recreation, public safety, schools, city projects",,Vote on 10 year renewal planned for Nov 2012 ballot,NA,NA,NA,12101,5,10971911,401648,12101,5.176666666666667,US PRESIDENT,OTHER,OTHER,2937,190916,20220315,530,630,1037,1257
FL,Pasco,County,11/06/12,2012,11,1,69.91654893,30.08345107,50,19.91655,502000000,502000000,569787136,45180000,45180000,51280844,Sales tax,"Open space, parks, recreation","10-year, 1 cent sales tax extension for the acquisition of environmentally sensitive lands and other county projects",,Penny for Pasco,0,0,88.103073,12101,5,16092891,468946,12101,5.031666666666666,US PRESIDENT,BARACK OBAMA,DEMOCRAT,98263,213573,20220315,690,766,1173,1417
FL,Pasco,County,11/06/12,2012,11,1,69.91654893,30.08345107,50,19.91655,502000000,502000000,569787136,45180000,45180000,51280844,Sales tax,"Open space, parks, recreation","10-year, 1 cent sales tax extension for the acquisition of environmentally sensitive lands and other county projects",,Penny for Pasco,0,0,88.103073,12101,5,16092891,468946,12101,5.031666666666666,US PRESIDENT,MITT ROMNEY,REPUBLICAN,112427,213573,20220315,690,766,1173,1417
FL,Pasco,County,11/06/12,2012,11,1,69.91654893,30.08345107,50,19.91655,502000000,502000000,569787136,45180000,45180000,51280844,Sales tax,"Open space, parks, recreation","10-year, 1 cent sales tax extension for the acquisition of environmentally sensitive lands and other county projects",,Penny for Pasco,0,0,88.103073,12101,5,16092891,468946,12101,5.031666666666666,US PRESIDENT,OTHER,OTHER,2883,213573,20220315,690,766,1173,1417
FL,Pinellas,County,11/07/89,1989,11,1,50.14755606,49.85244394,50,0.14755605,469309000,469309000,867973056,69092349,69092349,127784248,Sales tax,"Recreation, open space, parks","10-year, ""Penny for Pinellas"", One-cent sales tax to finance county and municipal infrastructure projects including open space acquisition ",,,0,0,54.069534,12103,5,17664239,840880,12103,3.7416666666666667,NA,NA,NA,NA,NA,NA,308,374,551,618
FL,Pinellas,County,03-25-1997,1997,3,1,64.51379352,35.48620648,50,14.513794,1138203470,1138203470,1735428992,81856690,81856690,124807624,Sales tax,"open space, watershed protection, wildlife habitat, parks","Penny for Pinellas, 10-year, $.01 Sales Tax Extension for County Projects including Open Space, Parks, Endangered Lands, Water Management",,,0,0,65.586288,12103,5,25357643,904564,12103,5.710833333333333,NA,NA,NA,NA,NA,NA,378,450,741,897
FL,Pinellas,County,03-13-2007,2007,3,1,57.13756369,42.86243631,50,7.1375637,1437000000,1437000000,1763602560,75123000,75123000,92197016,Sales tax,"Open space, parks, recreation, trails","10-year, continuation of 1 cent sales tax for capital improvements including environmental protection",,,0,0,81.480942,12103,5,38007603,918624,12103,3.4683333333333333,NA,NA,NA,NA,NA,NA,609,676,1035,1250
FL,Pinellas,County,11/07/17,2017,11,1,82.61864091,17.38135909,50,32.618641,2000000000,2000000000,2106008192,64000000,64000000,67392264,Sales tax,"Open space, parks, recreation, trails","10-year, continuation of 1 cent sales tax for capital improvements including environmental protection",,,0,0,94.966393,12103,5,49194637,956426,12103,4.269166666666667,NA,NA,NA,NA,NA,NA,714,815,1341,1609
FL,Polk,County,09/01/92,1992,9,0,49.58782498,50.41217502,50,-0.41217503,NA,0,0,NA,0,0,Sales tax,"Open space, wildlife habitat, watershed protection","5-year, one cent sales tax partly for land acquisition, water, and wildlife preservation",,,0,0,59.311508,12105,5,7200589,423171,12105,4.390833333333333,NA,NA,NA,NA,NA,NA,303,370,545,611
FL,Polk,County,11/08/94,1994,11,1,51.01206643,48.98793357,50,1.0120665,20000000,20000000,32250842,20000000,20000000,32250842,Bond,"Open space, watershed protection, wildlife habitat","Bond for preserving water, wildlife and other environmentally sensitive lands",,,0,0,62.013885,12105,5,8216209,438480,12105,5.138333333333334,NA,NA,NA,NA,NA,NA,329,370,578,663
FL,Polk,County,11/02/04,2004,11,0,47.71477124,52.28522876,50,-2.2852287,114000000,0,0,114000000,0,0,Property tax,"Parks, recreation, open space","1/2 mill property tax increase for parks, recreation, and trails and the creation of a Municipal Services Taxing Unit (MSTU) for the unincorporated areas of the county",,The MSTU is not county wide,0,0,74.688545,12105,5,14721796,527685,12105,4.623333333333333,US PRESIDENT,JOHN KERRY,DEMOCRAT,86009,210830,20220315,419,459,642,702
FL,Polk,County,11/02/04,2004,11,0,47.71477124,52.28522876,50,-2.2852287,114000000,0,0,114000000,0,0,Property tax,"Parks, recreation, open space","1/2 mill property tax increase for parks, recreation, and trails and the creation of a Municipal Services Taxing Unit (MSTU) for the unincorporated areas of the county",,The MSTU is not county wide,0,0,74.688545,12105,5,14721796,527685,12105,4.623333333333333,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,123559,210830,20220315,419,459,642,702
FL,Polk,County,11/02/04,2004,11,0,47.71477124,52.28522876,50,-2.2852287,114000000,0,0,114000000,0,0,Property tax,"Parks, recreation, open space","1/2 mill property tax increase for parks, recreation, and trails and the creation of a Municipal Services Taxing Unit (MSTU) for the unincorporated areas of the county",,The MSTU is not county wide,0,0,74.688545,12105,5,14721796,527685,12105,4.623333333333333,US PRESIDENT,OTHER,OTHER,1262,210830,20220315,419,459,642,702
FL,Sarasota,County,11/04/97,1997,11,1,60.52516781,39.47483219,50,10.525167,513200000,513200000,782480640,NA,NA,NA,Sales tax,"Watershed protection, parks","10-year, $0.01 sales tax extension for transportation, Parks, Beaches, Libraries, Environmentally sensitive lands, Animal shelters",,,0,0,65.586288,12115,5,10744185,313810,12115,5.410833333333334,NA,NA,NA,NA,NA,NA,387,491,804,874
FL,Sarasota,County,03-16-1999,1999,3,1,67.59639792,32.40360208,50,17.596397,NA,NA,NA,NA,NA,NA,Bond,Wildlife habitat,"Question 2, Bond for acquiring, managing environmentally sensitive lands",,Bond authorization of $53M,0,0,67.281197,12115,5,12027386,322839,12115,4.415,NA,NA,NA,NA,NA,NA,405,514,841,915
FL,Sarasota,County,03-16-1999,1999,3,1,64.97837058,35.02162942,50,14.978371,104171020,104171020,154829328,93753920,93753920,139346400,Property tax,wildlife habitat,"Question 1, .25 mill property tax increase for acquiring, managing environmentally sensitive lands",,,0,0,67.281197,12115,5,12027386,322839,12115,4.415,NA,NA,NA,NA,NA,NA,405,514,841,915
FL,Sarasota,County,11/08/05,2005,11,1,79.88474204,20.11525796,50,29.884743,170000000,170000000,220733232,170000000,170000000,220733232,Property tax,"Open space, parks","10-year, .25 mill property tax extension to purchase and protect environmentally sensitive lands",,,0,0,77.016045,12115,5,16976352,367912,12115,4.8025,NA,NA,NA,NA,NA,NA,554,616,917,1046
FL,Sarasota,County,11/08/05,2005,11,1,77.69694387,22.30305613,50,27.696943,NA,NA,NA,NA,NA,NA,Bond,"Parks, open space, recreation",Bond for the acquisition and management of environmentally sensitive lands and neighborhood parkland,,Bond authorization of $250M,0,0,77.016045,12115,5,16976352,367912,12115,4.8025,NA,NA,NA,NA,NA,NA,554,616,917,1046
FL,Sarasota,County,11/06/18,2018,11,1,70.57863021,29.42136979,50,20.57863,65000000,65000000,66817428,30100000,30100000,30941610,Bond,"Open space, recreation, parks, trails",Bond to acquire and improve the Legacy Trail Extension railroad corridor,,,0,0,97.280006,12115,5,28148117,420953,12115,4.9875,NA,NA,NA,NA,NA,NA,766,841,1473,1774
FL,Seminole,County,11/06/90,1990,11,1,60.54226475,39.45773525,50,10.542265,20280000,20280000,36151080,20280000,20280000,36151080,Property tax,"Recreation, open space",.25 mill property tax increase for land conservation,,,0,0,56.097908,12117,5,5726209,291169,12117,3.1358333333333333,NA,NA,NA,NA,NA,NA,351,428,612,684
FL,Seminole,County,11/07/00,2000,11,1,57.99110729,42.00889271,50,7.9911075,25000000,25000000,36344716,25000000,25000000,36344716,Bond,"Open space, wildlife habitat","Bond issue to acquire and improve natural/environmental lands, trails, greenways and blueways",,,0,0,68.785789,12117,5,11624861,367378,12117,2.5908333333333333,US PRESIDENT,AL GORE,DEMOCRAT,59174,137634,20220315,504,572,896,1093
FL,Seminole,County,11/07/00,2000,11,1,57.99110729,42.00889271,50,7.9911075,25000000,25000000,36344716,25000000,25000000,36344716,Bond,"Open space, wildlife habitat","Bond issue to acquire and improve natural/environmental lands, trails, greenways and blueways",,,0,0,68.785789,12117,5,11624861,367378,12117,2.5908333333333333,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,75677,137634,20220315,504,572,896,1093
FL,Seminole,County,11/07/00,2000,11,1,57.99110729,42.00889271,50,7.9911075,25000000,25000000,36344716,25000000,25000000,36344716,Bond,"Open space, wildlife habitat","Bond issue to acquire and improve natural/environmental lands, trails, greenways and blueways",,,0,0,68.785789,12117,5,11624861,367378,12117,2.5908333333333333,US PRESIDENT,RALPH NADER,GREEN,1946,137634,20220315,504,572,896,1093
FL,Seminole,County,11/07/00,2000,11,1,57.99110729,42.00889271,50,7.9911075,25000000,25000000,36344716,25000000,25000000,36344716,Bond,"Open space, wildlife habitat","Bond issue to acquire and improve natural/environmental lands, trails, greenways and blueways",,,0,0,68.785789,12117,5,11624861,367378,12117,2.5908333333333333,US PRESIDENT,OTHER,OTHER,837,137634,20220315,504,572,896,1093
FL,Seminole,County,11/07/06,2006,11,0,48.74120943,51.25879057,50,-1.2587906,70000000,0,0,70000000,0,0,Property tax,"Open space, trails, recreation","10-year, .20 mill property tax increase for the acquisition of environmentally sensitive lands",,,0,0,79.349922,12117,5,15916204,413218,12117,3.2758333333333334,NA,NA,NA,NA,NA,NA,630,684,979,1153
FL,St. Johns,County,11/03/98,1998,11,0,44.38937868,55.61062132,50,-5.6106215,NA,0,0,NA,0,0,Sales tax,"Open space, recreation","Environmentally Sensitive, Archeological, Historic and Recreational Lands of Half Percent Sales Surtax Referendum, 5-year, 0.5 percent sales tax increase for open space, recreation, environmentally sensitive lands",,,0,0,66.324165,12109,5,4093078,116290,12109,4.04,NA,NA,NA,NA,NA,NA,414,463,738,820
FL,St. Johns,County,11/04/08,2008,11,0,44.63200471,55.36799529,50,-5.3679953,116500000,0,0,50000000,0,0,Sales tax,"Open space, recreation, wildlife habitat, watershed protection, farmland, ","5-year, 1 cent sales tax increase for protection of natural areas and transportation projects",,,0,0,83.072327,12109,5,9887396,181720,12109,4.265,US PRESIDENT,BARACK OBAMA,DEMOCRAT,35791,105844,20220315,616,701,1024,1173
FL,St. Johns,County,11/04/08,2008,11,0,44.63200471,55.36799529,50,-5.3679953,116500000,0,0,50000000,0,0,Sales tax,"Open space, recreation, wildlife habitat, watershed protection, farmland, ","5-year, 1 cent sales tax increase for protection of natural areas and transportation projects",,,0,0,83.072327,12109,5,9887396,181720,12109,4.265,US PRESIDENT,JOHN MCCAIN,REPUBLICAN,69222,105844,20220315,616,701,1024,1173
FL,St. Johns,County,11/04/08,2008,11,0,44.63200471,55.36799529,50,-5.3679953,116500000,0,0,50000000,0,0,Sales tax,"Open space, recreation, wildlife habitat, watershed protection, farmland, ","5-year, 1 cent sales tax increase for protection of natural areas and transportation projects",,,0,0,83.072327,12109,5,9887396,181720,12109,4.265,US PRESIDENT,OTHER,OTHER,831,105844,20220315,616,701,1024,1173
FL,St. Lucie,County,11/08/94,1994,11,1,67.18782731,32.81217269,50,17.187828,20000000,20000000,32250842,20000000,20000000,32250842,Bond,"Open space, wildlife habitat",Bond to acquire and protect environmentally significant lands and wildlife habitat,,,0,0,62.013885,12111,5,2978225,172790,12111,6.105833333333333,NA,NA,NA,NA,NA,NA,420,462,779,840
